StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
81770,82019.0,156374.0,,,,,16.75456668,86.06975776,421.940928270042,-36.37,40.0,,8.25,0.12374173005052,G5,1.071,-9.26348,-27.3969,420.94862,-4.4328e-05,0.000101153,5.607e-06
82031,82281.0,163988.0,,,,,16.81202928,88.15620561,431.034482758621,-2.36,13.61,,8.12,-0.0525600755455002,F5,0.475,-4.24401,-13.20308,430.81131,4.003e-06,2.8569e-05,9.15e-07
82377,82630.0,156401.0,,,,,16.89138759,84.76426414,200.803212851406,-32.12,45.4,,7.9,1.38614671379859,A0,0.179,-5.2439,-17.55766,199.96539,-1.7364e-05,5.1116e-05,4.032e-06
82512,82763.0,,,,,,16.91488448,87.73427826,373.134328358209,-16.32,-6.63,,8.96,1.10067397014395,K0,1.09,-4.1345,-14.16024,372.84262,-3.1695e-05,-3.229e-06,-4.74e-07
82678,82931.0,,,,,,16.94806686,86.83789492,131.578947368421,-30.71,56.15,,9.16,3.56406796140396,G0,0.617,-1.97366,-6.98454,131.37861,-9.126e-06,3.974e-05,1.975e-06
82714,82968.0,160010.0,,,,,16.95501557,86.84446974,114.41647597254,-31.83,54.93,,8.36,3.06755716317201,F2,0.408,-1.70163,-6.064,114.24299,-8.779e-06,3.4059e-05,1.677e-06
83752,84008.0,159251.0,,,,,17.17238006,84.59883658,161.290322580645,29.5,-21.97,,7.24,1.20195844749127,G5,1.039,-3.26381,-14.82704,160.5742,1.8849e-05,-2.166e-05,-1.616e-06
84249,84505.0,,,,,,17.27588702,84.37803155,370.37037037037,-7.81,1.13,,8.77,0.926818820794936,G5,0.989,-6.83715,-35.63312,368.58885,-1.339e-05,4.625e-06,1.98e-07
84280,84535.0,183030.0,7394.0,,Lam UMi,,17.28257238,89.03771546,268.817204301075,-23.03,-3.07,2.0,6.31,-0.837285300590511,M1III,1.575,-0.84296,-4.43518,268.77929,-3.0237e-05,1.64e-06,1.977e-06
84601,84858.0,166179.0,,,,,17.34342826,87.37537892,163.66612111293,17.02,0.4,,8.33,2.26020605121277,F0,0.328,-1.28192,-7.38419,163.49443,1.3359e-05,-1.997e-06,1.4e-08
85440,85699.0,166926.0,6811.0,,24    UMi,,17.51304716,86.96802383,47.8927203065134,56.09,9.68,1.0,5.78,2.37865247165112,A2m,0.239,-0.32206,-2.51264,47.82567,1.3195e-05,5.16e-07,1.14e-06
85561,85822.0,166205.0,6789.0,,23Del UMi,,17.53691588,86.58632924,56.0224089635854,10.54,53.97,-8.0,4.35,0.60819110224106,A1Vn,0.021,-0.40342,-3.31134,55.923,4.669e-06,1.4661e-05,-7.294e-06
86430,86695.0,166798.0,,,,,17.71388624,85.67013439,114.285714285714,7.92,-11.69,,7.58,2.29004026511157,F0,0.348,-0.6457,-8.6042,113.95953,3.892e-06,-6.768e-06,-4.88e-07
86789,87057.0,166818.0,,,,,17.79013369,84.70267893,227.790432801822,1.2,16.33,,8.3,1.51232260121061,A0,0.061,-1.15489,-20.99879,226.81754,2.309e-06,1.7855e-05,1.664e-06
87393,87663.0,170791.0,,,,,17.90660678,86.55860466,212.765957446808,1.1,21.17,,7.67,1.03048928967859,K0,1.137,-0.31224,-12.768,212.38228,1.667e-06,2.1761e-05,1.31e-06
88281,88554.0,,,,,,18.08205287,85.47110452,108.342361863489,10.77,-26.36,,9.12,3.94600850512956,F8,0.513,0.18375,-8.55294,108.00407,5.951e-06,-1.3676e-05,-1.093e-06
88379,88653.0,170489.0,,,,,18.09994227,84.65585842,59.7014925373134,7.66,14.31,,7.3,3.42007405686432,F2,0.41,0.14547,-5.55855,59.44198,2.108e-06,4.18e-06,3.85e-07
88570,88846.0,187138.0,,,,,18.13674499,88.82277953,182.815356489945,-16.98,6.07,,8.21,1.89993663166716,G9III,1.043,0.13443,-3.75352,182.77676,-1.5231e-05,4.836e-06,1.1e-07
89188,89465.0,174878.0,,,,,18.25796826,86.65768383,363.636363636364,-5.6,27.77,,6.51,-1.29333653084869,M...,1.604,1.4307,-21.15215,363.01782,-1.3147e-05,4.8092e-05,2.854e-06
89241,89516.0,,,,,,18.26728948,84.61148946,581.395348837209,0.92,-4.53,,8.49,-0.332357765462255,K2,1.531,3.81744,-54.46444,578.82605,3.475e-06,-1.2498e-05,-1.198e-06
89509,89787.0,,,,,,18.32335755,86.40859007,263.157894736842,-0.53,33.55,,10.36,3.25891798308405,F2,0.507,1.39382,-16.42541,262.64108,-4.285e-06,4.2506e-05,2.681e-06
90020,90298.0,181518.0,,,,,18.42488318,87.80912962,305.810397553517,6.79,-4.95,,8.58,1.15273876330143,A3,0.19,1.29772,-11.61844,305.58685,1.0817e-05,-6.17e-06,-2.8e-07
90818,91099.0,181203.0,,,,,18.58247066,87.29199369,257.731958762887,15.65,-2.38,,8.49,1.43415862797104,A5,0.187,1.84965,-12.03551,257.44414,1.9777e-05,3.4e-08,-1.4e-07
91051,91333.0,,,,,,18.62868973,85.60863992,249.376558603491,3.96,18.86,,9.09,2.10572186310091,A0,0.258,3.12859,-18.83638,248.64446,9.97e-07,2.321e-05,1.745e-06
91441,91720.0,,,,,,18.70422587,88.30268146,42.93688278231,-91.77,144.88,,9.96,6.7958474426734,K8,1.06,0.23314,-1.25021,42.91804,-2.4303e-05,2.613e-05,8.93e-07
91591,91876.0,177806.0,,,,,18.72984368,84.54326624,88.0281690140845,17.57,-43.86,,8.91,4.186891656875,F8,0.492,1.58974,-8.21861,87.62925,1.0899e-05,-1.6868e-05,-1.779e-06
93682,93976.0,183677.0,,,,,19.13451943,84.77834337,751.87969924812,1.24,-12.46,,8.59,-0.790741795164571,K2,1.68,20.02667,-65.43163,748.75945,1.7558e-05,-4.1923e-05,-4.133e-06
93718,94010.0,,,,,,19.14047025,86.93653974,117.647058823529,-0.46,-6.57,,9.25,3.89709462857146,F8,0.491,1.84945,-6.00912,117.47893,8.49e-07,-3.653e-06,-2e-07
93974,94267.0,185778.0,,,,,19.1876077,86.07920945,213.219616204691,40.33,1.6,,8.68,2.03586421357542,G5,0.821,4.46026,-13.88036,212.72058,3.9182e-05,1.4323e-05,1.13e-07
95098,95392.0,187216.0,,,,,19.40510426,85.36587644,10000000.0,-2.07,3.25,,9.66,-5.34,R...,1.632,290542.30052,-753875.96892,9967309.3759,0.0,0.0,0.0
95491,95788.0,,,,,,19.48290257,86.63121591,438.59649122807,7.89,22.53,,8.77,0.559674235002269,G8,1.029,9.75623,-23.85508,437.83859,-2.574e-06,5.0612e-05,2.814e-06
